"","163_PRE","109_PRE","97_PRE","97_SURG","109_SURG","163_SURG"
"IL18R1",7.9999432162034,7.31055272987007,7.43025669086388,8.14730828981039,8.2515672711774,9.13480558614638
"CUX2",4.54816355689414,3.45236923604267,3.9024097019853,4.61596840174667,4.96488444426614,6.63099815625065
"FLT3",8.66704574390191,6.5833075627268,7.24317169530197,8.14298787153292,8.10523893462779,10.0103389861286
"CLEC4C",5.98085810143519,3.87424838237125,4.68819049904154,5.28029137446869,5.24976312501008,7.90257428038711
"P2RX5",7.98157102471974,5.91820640246583,5.86903367104784,8.314869612898,7.58685197991482,9.13184194234381
"FCRL1",8.35370365021868,6.42655657705536,6.60473163039293,8.62629717202494,8.06316628695576,9.19461091054988
"BTLA",7.85625297008682,5.84416268782004,6.06349227602023,7.32521421534934,7.92652515801932,9.21481388087618
"CCR4",8.5032118992786,6.88257723476453,7.25124381541169,8.14118766132655,8.39293567859759,9.4661337899373
"SLA",11.5514897499912,9.40271560258556,9.84050077305206,11.0026641197465,11.3984491672449,12.2609063739939
"SLAMF6",10.8945676083447,8.55248816217831,8.87149687584449,10.1057668965138,10.686085838195,11.5800483052741
"CYP26B1",8.18394604021655,6.61056770749945,6.7198286354353,7.56637874957915,8.05925203054915,8.86814472030659
"CD24",7.06486000750773,4.16534707605211,4.47467395451143,6.29296493799938,6.66525790166031,8.33979736574811
"BANK1",9.95715506894671,7.09729764611865,7.71303176710148,9.62867508949644,9.52834238554259,10.9574142677873
"ITK",12.3598955220963,10.4313980889679,10.5789246222259,11.9385672914549,11.934716222222,12.8867686183551
"CD69",8.93764347832541,7.0623806997156,7.40715126400452,9.01962378609178,9.00751929829781,9.9682046931405
"IPCEF1",9.22016843968377,7.25895306340993,7.71670743922043,9.03870849191209,9.14288795269526,10.2697001933727
"FAM65B",9.61199263873107,7.80248979062336,8.30052354212589,9.45757217612216,9.56273152020169,10.5894146243432
"FUT7",6.32021033296333,3.93367082685744,3.7807858794171,4.97837807703797,5.50315008696943,7.49129748958476
"GPR171",9.74544785186155,7.14926044893402,7.36703480289168,8.52515730258454,8.75435025154328,10.3003840794523
"KLRD1",9.5304504150871,7.27706417001373,7.445051393216,8.33383797133514,8.90672162674923,10.3274744478451
"LTB",8.82610077004267,6.19698171429129,6.58623838890027,7.5805311424946,8.26855328525484,9.68791554393128
"TXK",10.2510535733394,8.91051842408642,8.88282991682703,10.0495551784135,9.6713165559803,11.3135270905512
"KRT5",6.73183065067483,4.53417878519677,5.456251595613,6.53693149846473,5.73253575838039,8.27293540886659
"RASGRP2",10.2317257108183,9.00044997855801,9.2632259106729,10.2730017404017,9.70340730762247,11.1513607160331
"FAM129C",7.54507038106701,5.28263222709752,5.87833911237472,7.4816927688609,6.660884900374,8.57304583657864
"LILRA4",7.81039841104046,5.96997393623221,6.21031697859112,6.88551373089529,8.17148137186177,9.5990445367991
"LBP",6.47933004879473,4.08932853923603,4.32336537096481,4.62256976830291,6.71541235314924,8.52527311260588
"ALOX5AP",10.3960208903595,9.67903724664771,9.326967642519,9.82090562603058,10.8964234140799,11.3016387974883
"FDCSP",8.89974765878334,5.99400378910197,5.76707144540421,6.63842296303542,9.99725337203482,10.3379931691793
"SMAP2",12.6058833044326,11.129899521352,11.7716814160784,12.3990490774434,12.6931646575204,13.4205877169
"TNFSF8",7.63001271982785,6.19032050666659,6.76901947069492,7.62778030526461,8.38731882387502,8.97517290222027
"GPR183",10.1332900413126,9.08475167327669,9.31258200493697,10.0409270825873,10.5399690829133,10.8321709030901
"CYTIP",11.6475879719148,9.49445004289843,9.79665054758548,10.9879532990671,11.9197949398198,12.4600038932628
