"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARRDC2",467.085681707075,-1.47883965499612,0.353375907419847,-4.18489100118278,2.85302967146493e-05,0.00664266822650507
"CA4",75.9310902873869,-1.81347171177328,0.433214253911427,-4.18608505006405,2.83807041842943e-05,0.00664266822650507
"CNR2",49.7309914971026,-1.90754326251696,0.4573859946814,-4.1705327331802,3.03888399526957e-05,0.00697573681054978
"DGAT2",727.208815828695,-1.87325025917277,0.451188061994773,-4.15181698489724,3.29845997147131e-05,0.0074664306409777
"KIF1A",2952.69305273621,-1.87536758954636,0.453047150886679,-4.13945344513479,3.48134237309809e-05,0.00770679373791182
"RXRG",1019.59224428524,1.17323018130825,0.283506841051768,4.13827820505402,3.49921914716821e-05,0.00770679373791182
"APOD",47759.387901342,1.6488505703124,0.399305478628127,4.12929613682554,3.63875480446811e-05,0.00773662436873826
"COL5A2",65254.3645173584,-1.12305479196288,0.272040654871303,-4.12826087517757,3.65517288251838e-05,0.00773662436873826
"DPP4",1234.47589733345,-1.15281522563698,0.27906329624665,-4.13101701707868,3.61161842200782e-05,0.00773662436873826
"ZFAND5",7445.80496596755,-1.06101455773694,0.25755276379173,-4.11960074555802,3.79529455820376e-05,0.00793021932174423
"PLIN4",3664.66244657365,-1.90923084108293,0.4637884759638,-4.11659827708172,3.84505414228483e-05,0.00793249271024787
"TNFSF8",288.586319246121,-1.69192214943855,0.411441867950659,-4.11217788278526,3.91944115331785e-05,0.00798488148959678
"CIDEC",225.238224277177,-1.89662679252317,0.463802087978718,-4.08930197099544,4.32673277183635e-05,0.00870581366856652
"RBP4",534.788518801498,-1.88630189108267,0.462234232084853,-4.08083555944077,4.48740947821569e-05,0.00891899996048284
"HTR3A",56.1655538164037,-1.85542489163282,0.459170998002165,-4.04081464139875,5.32658475879653e-05,0.0104593588432369
"GALNT13",23.3836198928923,-1.86232157272743,0.46189388470643,-4.03192515508423,5.5321806915565e-05,0.0107337477274986
"EFHD1",237.37383569704,-1.34002714792931,0.334958905355992,-4.0005717910534,6.31896127101723e-05,0.0121160506817693
"ZNF385D",189.88212803939,-1.41059704731425,0.353121492871637,-3.99465078107556,6.47896786667295e-05,0.0122783974757018
"WT1",23.1626022784956,-1.8515241357312,0.46382517839948,-3.99185775580413,6.55576939033123e-05,0.0122811413245538
"BDNF",372.211386922674,1.37713257630166,0.345529492182905,3.98557173108882,6.73178362629327e-05,0.01246756926606
"RHOB",1251.26796630467,-1.03587981065373,0.262732697965441,-3.94271371121832,8.05648049559473e-05,0.0147533167547419
"CUX2",49.9157526892322,-1.75514665737752,0.447644832380322,-3.92084646223803,8.82384726949405e-05,0.0155087897100204
"FGF10",64.3298043732917,-1.71767752109091,0.437824690580858,-3.92320843946029,8.73774921052394e-05,0.0155087897100204
"LGI3",1095.47445375159,-1.36142546558539,0.347289781794008,-3.92014259259982,8.84965911787887e-05,0.0155087897100204
"SLC24A3",267.900814545331,-1.30506148052177,0.332308917243038,-3.92725386772362,8.59212759955272e-05,0.0155087897100204
"MAOA",1154.46022798353,-1.3811696469646,0.353576782547306,-3.90627924439526,9.37281915759597e-05,0.0162508730457978
"BLK",1120.62746955851,-1.64095268877277,0.422631038300634,-3.8827074683651,0.00010329981371989,0.0177218985684923
"CD163L1",1708.2584226933,-1.38889473643336,0.357950675942927,-3.88012882717621,0.000104401153029706,0.017724270750814
"ITK",4625.39992155232,-1.43379932487679,0.370211549676917,-3.87291894628371,0.000107539599798,0.0180688700774
"ABI3BP",12149.6868000264,-1.65530583666775,0.428730531105449,-3.86094695052313,0.000112948426941706,0.018784014921387
"KLRD1",683.715252527783,-1.42650977528975,0.370649659936233,-3.84867417802345,0.000118758841103263,0.0195508241646564
"LUZP2",44.0496108138512,-1.77514036356356,0.461840584655821,-3.84362141946978,0.000121231975904212,0.0197583874328685
"FUT7",93.9084741472134,-1.66595615569647,0.435290513773677,-3.82722826016526,0.000129594327855749,0.0209121619345841
"TCN1",310.817933223404,1.42105105964342,0.371701890199248,3.82309344426976,0.00013178780641849,0.0210576242059661
"SESN1",1636.20653885634,-1.12922937698174,0.295737737730972,-3.81834724795582,0.000134348730669569,0.0212584040043945
"ALOX5AP",1530.88311800303,-1.18016311230767,0.31044397147799,-3.80153335459872,0.000143803375209349,0.0223210229443998
"NFKBIA",14801.9656478308,-1.21706811829514,0.320041612996682,-3.8028433455863,0.000143044814905128,0.0223210229443998
"SLA",2881.9592557871,-1.51212947509121,0.39812119638371,-3.79816369695076,0.000145772042922053,0.0224131392032417
"ADH1B",2974.74373425438,-1.75358616921696,0.463413086418009,-3.78406700331114,0.000154286257950463,0.0235005367483799
"C3orf67",923.89061793954,1.0375101149269,0.274647489835575,3.77760639847112,0.000158342864951159,0.0235710846367545
"CYTIP",3406.31119547872,-1.5851519164812,0.419748082424508,-3.77643635040618,0.000159088189351025,0.0235710846367545
"FBLN2",3586.74447816123,-1.49012889930677,0.39415533018401,-3.78056259853471,0.000156474369341263,0.0235710846367545
"CLEC4C",111.16398998072,-1.6128030189299,0.430987640228579,-3.74210967645044,0.000182481835926664,0.0267935942516466
"TCL1A",153.082746707322,-1.73349403360104,0.463744246108216,-3.73803890430702,0.000185461253221369,0.0269879241518024
"CRTAC1",6368.78353327131,-1.24052777349221,0.332407185013028,-3.73195234466305,0.000190001451849466,0.0274039262145363
"THRSP",34.8494106033717,-1.69154433793141,0.455492920864878,-3.7136567012272,0.000204285872470588,0.0289517491263099
"SLC35F1",825.143136351381,1.27783121122434,0.344311818809573,3.71126154089723,0.000206228887277876,0.0289751586625415
"CD1C",325.647307735173,-1.58191302306994,0.426829179610115,-3.70619699551687,0.0002103946756461,0.0291496335313889
"SLAMF6",1787.7542898923,-1.52418747278607,0.411359522035803,-3.70524417483499,0.000211187188404466,0.0291496335313889
"SPOCK1",852.023730959207,-1.25345811918077,0.338614165149162,-3.70172972128504,0.000214134657103981,0.0291496335313889
"TNR",42.3528624648168,-1.61935392663149,0.437527279271825,-3.70114962734798,0.000214624863404508,0.0291496335313889
"TMEM132C",42.3858111256764,-1.69206129424051,0.458414427717857,-3.69111701537007,0.000223271386155118,0.0298268610783288
"TMTC1",2410.29473409238,-1.16661810756454,0.31595520916854,-3.69235281999174,0.000222188928944076,0.0298268610783288
